SCORES_TXT_BEGIN_0 0 100 9 BLEU
4 4 3 3 2 2 1 1 4 
4 5 3 4 1 3 0 2 4 
4 5 2 4 1 3 0 2 4 
4 4 2 3 0 2 0 1 4 
4 5 3 4 1 3 0 2 4 
4 4 2 3 1 2 0 1 4 
4 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
4 5 2 4 0 3 0 2 4 
3 5 1 4 0 3 0 2 4 
4 5 2 4 0 3 0 2 4 
4 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
4 4 1 3 0 2 0 1 4 
4 5 2 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 5 1 4 0 3 0 2 4 
4 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
3 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 5 1 4 0 3 0 2 4 
4 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
4 5 2 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
3 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
4 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
4 5 2 4 1 3 0 2 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 5 1 4 0 3 0 2 4 
3 5 1 4 0 3 0 2 4 
4 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
3 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 5 1 4 0 3 0 2 4 
3 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 5 1 4 0 3 0 2 4 
3 5 1 4 0 3 0 2 4 
3 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
3 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
3 5 1 4 0 3 0 2 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
3 4 1 3 0 2 0 1 4 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 1 100 9 BLEU
13 16 10 15 7 14 5 13 17 
12 16 7 15 3 14 1 13 17 
12 15 9 14 6 13 4 12 17 
12 16 7 15 3 14 1 13 17 
11 15 6 14 2 13 1 12 17 
12 16 7 15 3 14 1 13 17 
13 17 7 16 3 15 1 14 17 
12 17 9 16 6 15 4 14 17 
12 18 7 17 3 16 1 15 17 
12 15 9 14 6 13 4 12 17 
11 15 6 14 2 13 1 12 17 
12 17 9 16 6 15 4 14 17 
13 16 10 15 7 14 5 13 17 
12 18 7 17 3 16 1 15 17 
13 17 7 16 3 15 1 14 17 
11 15 6 14 2 13 1 12 17 
12 16 6 15 2 14 1 13 17 
12 15 7 14 3 13 1 12 17 
11 17 6 16 2 15 1 14 17 
12 18 7 17 3 16 1 15 17 
13 19 7 18 3 17 1 16 17 
12 15 6 14 3 13 1 12 17 
12 16 7 15 3 14 1 13 17 
12 17 8 16 3 15 1 14 17 
12 17 7 16 3 15 1 14 17 
11 15 6 14 3 13 1 12 17 
11 17 6 16 2 15 1 14 17 
12 16 6 15 2 14 1 13 17 
12 17 7 16 3 15 1 14 17 
12 16 8 15 3 14 1 13 17 
13 17 8 16 4 15 2 14 17 
12 15 6 14 2 13 1 12 17 
12 15 9 14 6 13 4 12 17 
12 15 6 14 3 13 1 12 17 
12 16 7 15 3 14 1 13 17 
12 18 6 17 3 16 1 15 17 
13 17 9 16 6 15 4 14 17 
11 14 6 13 2 12 1 11 17 
12 16 6 15 3 14 1 13 17 
13 19 7 18 3 17 1 16 17 
11 17 6 16 3 15 1 14 17 
11 17 6 16 2 15 1 14 17 
13 17 7 16 3 15 1 14 17 
12 17 7 16 3 15 1 14 17 
12 18 6 17 2 16 1 15 17 
11 14 5 13 2 12 1 11 17 
12 15 7 14 3 13 1 12 17 
12 17 8 16 3 15 1 14 17 
12 16 7 15 3 14 1 13 17 
11 15 6 14 2 13 1 12 17 
12 17 7 16 3 15 1 14 17 
12 17 8 16 3 15 1 14 17 
12 16 6 15 2 14 1 13 17 
12 17 7 16 3 15 1 14 17 
12 15 6 14 3 13 1 12 17 
12 17 7 16 3 15 1 14 17 
11 15 6 14 3 13 1 12 17 
13 16 6 15 3 14 1 13 17 
11 16 6 15 2 14 1 13 17 
13 17 6 16 2 15 0 14 17 
11 15 6 14 3 13 1 12 17 
12 16 6 15 3 14 1 13 17 
12 18 7 17 3 16 1 15 17 
12 18 8 17 3 16 1 15 17 
10 14 5 13 2 12 1 11 17 
12 16 7 15 3 14 1 13 17 
12 19 8 18 3 17 1 16 17 
12 19 7 18 3 17 1 16 17 
12 17 6 16 3 15 1 14 17 
11 15 6 14 3 13 1 12 17 
13 17 9 16 4 15 2 14 17 
13 17 9 16 4 15 2 14 17 
12 16 6 15 3 14 1 13 17 
12 16 7 15 3 14 1 13 17 
12 16 8 15 4 14 2 13 17 
13 17 7 16 3 15 1 14 17 
11 14 5 13 2 12 1 11 17 
12 16 8 15 4 14 1 13 17 
13 17 8 16 4 15 2 14 17 
12 15 6 14 2 13 1 12 17 
12 16 9 15 6 14 4 13 17 
12 18 6 17 2 16 1 15 17 
12 16 8 15 4 14 2 13 17 
12 17 8 16 3 15 1 14 17 
11 15 6 14 3 13 1 12 17 
11 16 6 15 2 14 1 13 17 
11 16 6 15 2 14 1 13 17 
12 16 8 15 5 14 3 13 17 
11 14 8 13 5 12 3 11 17 
11 14 6 13 2 12 1 11 17 
12 16 8 15 3 14 1 13 17 
11 15 6 14 2 13 1 12 17 
12 16 7 15 3 14 2 13 17 
11 16 7 15 2 14 1 13 17 
12 17 8 16 4 15 2 14 17 
12 18 6 17 3 16 1 15 17 
13 17 7 16 3 15 1 14 17 
10 14 5 13 2 12 1 11 17 
12 19 7 18 3 17 1 16 17 
13 16 8 15 5 14 3 13 17 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 2 100 9 BLEU
8 8 7 7 6 6 5 5 8 
7 8 6 7 5 6 4 5 8 
7 8 6 7 5 6 4 5 8 
6 8 5 7 4 6 3 5 8 
7 8 6 7 5 6 4 5 8 
7 8 6 7 5 6 4 5 8 
6 8 5 7 4 6 3 5 8 
6 8 5 7 4 6 3 5 8 
6 8 5 7 4 6 3 5 8 
7 8 5 7 4 6 3 5 8 
8 9 7 8 5 7 3 6 8 
7 9 6 8 4 7 3 6 8 
7 8 5 7 3 6 1 5 8 
8 9 6 8 5 7 4 6 8 
6 8 4 7 2 6 0 5 8 
8 9 7 8 5 7 3 6 8 
8 9 6 8 4 7 3 6 8 
7 8 5 7 4 6 3 5 8 
7 9 6 8 5 7 4 6 8 
7 8 5 7 4 6 3 5 8 
7 9 6 8 4 7 2 6 8 
7 8 5 7 4 6 3 5 8 
7 9 5 8 3 7 2 6 8 
7 7 5 6 3 5 2 4 8 
6 8 5 7 4 6 3 5 8 
7 9 5 8 3 7 1 6 8 
6 9 5 8 4 7 3 6 8 
8 8 5 7 4 6 3 5 8 
6 7 4 6 2 5 1 4 8 
7 9 5 8 4 7 3 6 8 
6 7 4 6 2 5 1 4 8 
6 8 5 7 4 6 3 5 8 
7 8 5 7 3 6 1 5 8 
5 7 3 6 1 5 0 4 8 
6 9 4 8 2 7 0 6 8 
7 9 6 8 4 7 3 6 8 
6 8 5 7 4 6 3 5 8 
7 8 4 7 3 6 2 5 8 
7 8 5 7 4 6 3 5 8 
7 9 6 8 4 7 2 6 8 
7 7 5 6 3 5 1 4 8 
6 8 4 7 2 6 0 5 8 
7 9 6 8 4 7 3 6 8 
6 8 4 7 2 6 1 5 8 
6 9 5 8 3 7 2 6 8 
6 9 5 8 4 7 3 6 8 
8 9 6 8 4 7 3 6 8 
7 9 5 8 4 7 3 6 8 
6 7 4 6 2 5 0 4 8 
7 8 5 7 4 6 3 5 8 
6 8 4 7 2 6 1 5 8 
7 9 5 8 3 7 1 6 8 
6 8 4 7 3 6 2 5 8 
8 9 7 8 5 7 2 6 8 
7 8 5 7 3 6 1 5 8 
