FEATURES_TXT_BEGIN_0 0 100 8 Distortion0_0 LM0_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
0 -9.14424 -4 2 -0.510826 -3.9967 0 -1.92617 
0 -36.9796 -5 3 -2.12026 -3.9967 -6.69765 -3.59017 
0 -39.3185 -5 3 -1.99972 -3.9967 -2.62011 -2.46251 
-5 -36.0256 -4 2 -0.510826 -3.9967 0 -1.92617 
-6 -37.6781 -4 3 -1.27489 -3.9967 -0.291596 -1.92617 
-5 -39.9775 -5 3 -1.99972 -3.9967 -2.62011 -2.46251 
0 -36.1637 -4 3 -5.62625 -7.30201 -4.75174 -5.62783 
-4 -40.2376 -4 2 -0.510826 -3.9967 0 -1.92617 
0 -41.2615 -4 3 -1.27996 -3.94832 -2.36692 -3.69424 
0 -40.2104 -4 3 -3.51109 -5.24979 -4.9929 -5.71744 
-6 -40.0022 -4 3 -1.27996 -3.94832 -2.36692 -3.69424 
-6 -42.3128 -5 3 -1.99972 -3.9967 -2.62011 -2.46251 
-6 -41.0025 -5 3 -1.60944 -3.94832 -4.61821 -4.23057 
0 -40.5878 -4 3 -4.45417 -6.19116 -4.29975 -5.17584 
-3 -43.9749 -4 3 -1.27489 -3.9967 -0.291596 -1.92617 
-4 -39.0781 -4 3 -4.97299 -7.36548 -3.70192 -4.54844 
-4 -44.5497 -4 3 -1.27489 -3.9967 -0.291596 -1.92617 
-5 -42.4547 -4 3 -1.27996 -3.94832 -2.36692 -3.69424 
0 -42.0873 -5 3 -4.6217 -6.19116 -7.3908 -6.83984 
-4 -43.2865 -4 3 -1.27996 -3.94832 -2.36692 -3.69424 
-6 -38.3713 -4 3 -4.97299 -7.36548 -3.70192 -4.54844 
-4 -43.422 -4 3 -1.27996 -3.94832 -2.36692 -3.69424 
-4 -39.895 -4 3 -4.45417 -6.19116 -4.29975 -5.17584 
-6 -38.8319 -4 3 -4.45417 -6.19116 -4.29975 -5.17584 
-4 -38.8674 -4 3 -5.62625 -7.30201 -4.75174 -5.62783 
-4 -45.8505 -5 3 -1.99972 -3.9967 -2.62011 -2.46251 
-4 -40.5893 -4 3 -3.51109 -5.24979 -4.9929 -5.71744 
-5 -38.6266 -4 3 -5.62625 -7.30201 -4.75174 -5.62783 
0 -41.0994 -4 3 -5.43953 -7.42271 -5.78136 -6.61823 
-6 -37.5178 -4 3 -5.43953 -7.42271 -5.78136 -6.61823 
0 -40.7501 -4 3 -5.62482 -7.30971 -6.29219 -6.98596 
-3 -44.9236 -4 3 -1.27996 -3.94832 -2.36692 -3.69424 
0 -41.2496 -4 3 -4.23652 -6.6291 -6.69765 -8.49006 
-6 -43.5133 -5 3 -2.12026 -3.9967 -6.69765 -3.59017 
-6 -39.0518 -4 3 -5.62625 -7.30201 -4.75174 -5.62783 
0 -44.1539 -4 3 -1.60944 -3.90218 -7.3908 -7.79686 
-4 -46.3414 -5 3 -1.60944 -3.94832 -4.61821 -4.23057 
-6 -38.4707 -4 3 -5.62482 -7.30971 -6.29219 -6.98596 
-3 -48.3533 -5 3 -1.99972 -3.9967 -2.62011 -2.46251 
-4 -39.8159 -4 3 -5.62482 -7.30971 -6.29219 -6.98596 
0 -44.2075 -4 3 -1.89712 -4.11575 -7.3908 -8.0846 
-6 -41.4145 -4 3 -3.51109 -5.24979 -4.9929 -5.71744 
0 -44.654 -4 3 -4.97299 -7.36548 -3.70192 -4.54844 
